"id","name","producer","nation","local1","type","use","abv","degree","sweet","acidity","body","tannin","priceQuantile","year","age","price","nation_Chile","nation_France","nation_USA","nation_Italy","nation_Germany","nation_Spain","nation_other","nation_Australia","nation_Argentina","local1_Rapel Valley","local1_other","local1_California","local1_Bourgogne","local1_Bordeaux","local1_Southern France","local1_Central Valley","local1_Maipo Valley","local1_Rhone","local1_Loire","local1_South Island","local1_South Australia","local1_Rioja","local1_Champagne","local1_Piemonte","local1_Toscana","local1_Veneto","local1_Sicilia","local1_Mendoza","local1_Aconcagua","local1_Washington State","type_Red","type_White","type_Rose","type_Fortified","type_Sparkling","type_Hard","type_Korean","type_Sake/Rice","type_Etc","type_NA","use_Appetizer","use_Dessert","use_Etc","use_Table","sweet_SWEET1","sweet_SWEET2","sweet_SWEET3","sweet_SWEET4","sweet_SWEET5","sweet_NA","acidity_ACIDITY1","acidity_ACIDITY2","acidity_ACIDITY3","acidity_ACIDITY4","acidity_ACIDITY5","acidity_NA","body_BODY1","body_BODY2","body_BODY3","body_BODY4","body_BODY5","body_NA","tannin_TANNIN1","tannin_TANNIN2","tannin_TANNIN3","tannin_TANNIN4","tannin_TANNIN5","tannin_NA","year_0","year_1967","year_1970","year_1976","year_1978","year_1979","year_1980","year_1981","year_1983","year_1986","year_1987","year_1988","year_1989","year_1990","year_1991","year_1992","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_NA","dAbv","dDegree","dAge","dPrice"
18,"La Carillon de l'Angelus","Chateau Angelus 1st Grand Cru ClasseA","France","Bordeaux","Red","Table",13.5,17,"SWEET1","ACIDITY3","BODY4","TANNIN4","Q5","2017",3,333.333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(13,13.5]","(11,17]","[0,4]","(200,10666.7]"
19,"Chateau Brillette","Chateau Brillette","France","Bordeaux","Red","Table",13.5,17,"SWEET1","ACIDITY4","BODY3","TANNIN3","Q3","2013",7,113.333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(13,13.5]","(11,17]","(4,7]","(94.6667,200]"
20,"Le Bailly de Camensac","Chateau Camensac Grand Cru Classe5th Cru","France","Bordeaux","Red","Table",13.5,17,"SWEET1","ACIDITY4","BODY4","TANNIN3","Q2","2006",14,66.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(13,13.5]","(11,17]","(11,41]","(56,94.6667]"
21,"L'oratoire de Chasse Spleen","Chateau Chasse Spleen","France","Bordeaux","Red","Table",13,17,"SWEET1","ACIDITY4","BODY3","TANNIN4","Q2","2017",3,66.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[4.5,13]","(11,17]","[0,4]","(56,94.6667]"
24,"Chateau Durfort Vivens","Chateau DurfortVivens Grand Cru Classe2nd Cru","France","Bordeaux","Red","Table",13.5,17,"SWEET1","ACIDITY4","BODY4","TANNIN4","Q4","2017",3,186.666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(13,13.5]","(11,17]","[0,4]","(94.6667,200]"
25,"La sirene de Giscours","Chateau Giscours Grand Cru Classe3rd Cru","France","Bordeaux","Red","Table",12.5,17,"SWEET1","ACIDITY3","BODY4","TANNIN3","Q3","2016",4,106.666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[4.5,13]","(11,17]","[0,4]","(94.6667,200]"
26,"Chateau Haut Bages Averous","Chateau Lynch Bages Grand Cru Classe5th Cru","France","Bordeaux","Red","Table",13.5,17,"SWEET1","ACIDITY4","BODY4","TANNIN5","Q4","2015",5,160,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(13,13.5]","(11,17]","(4,7]","(94.6667,200]"
29,"Chateau La Gurgue","Chateau La Gurgue","France","Bordeaux","Red","Table",13,17,"SWEET1","ACIDITY4","BODY4","TANNIN4","Q4","2009",11,173.333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","(11,17]","(7,11]","(94.6667,200]"
33,"Concha y Toro, Carmin de Peumo","Concha y Toro","Chile","Rapel Valley","Red","Table",14.5,17,"SWEET1","ACIDITY3","BODY5","TANNIN5","Q5","2013",7,600,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(14.2,51.6]","(11,17]","(4,7]","(200,10666.7]"
36,"Concha y Toro, Sunrise Cabernet Sauvignon","Concha y Toro","Chile","Central Valley","Red","Table",13.5,17,"SWEET1","ACIDITY3","BODY3","TANNIN3","Q1","2017",3,29.3333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(13,13.5]","(11,17]","[0,4]","[9.2,56]"
37,"Concha y Toro, Sunrise Carmenere","Concha y Toro","Chile","Central Valley","Red","Table",13.5,17,"SWEET1","ACIDITY3","BODY3","TANNIN3","Q1","2018",2,29.3333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(13,13.5]","(11,17]","[0,4]","[9.2,56]"
38,"Concha y Toro, Terrunyo Cabernet Sauvignon","Concha y Toro","Chile","Maipo Valley","Red","Table",14.5,17,"SWEET1","ACIDITY4","BODY3","TANNIN4","Q4","2015",5,133.333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(14.2,51.6]","(11,17]","(4,7]","(94.6667,200]"
39,"Concha y Toro, Terrunyo Carmenere","Concha y Toro","Chile","Rapel Valley","Red","Table",14.5,17,"SWEET1","ACIDITY3","BODY4","TANNIN4","Q4","2017",3,133.333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(14.2,51.6]","(11,17]","[0,4]","(94.6667,200]"
60,"Frei Brothers, Cabernet Sauvignon","Frei Brothers","USA","California","Red","Table",14.5,17,"SWEET1","ACIDITY3","BODY5","TANNIN5","Q2","2018",2,73.3333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(14.2,51.6]","(11,17]","[0,4]","(56,94.6667]"
61,"Frei Brothers, Chardonnay ","Frei Brothers","USA","California","White","Appetizer, Table",13.5,11,"SWEET1","ACIDITY4","BODY2","TANNIN1","Q2","2018",2,73.3333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(13,13.5]","[5,11]","[0,4]","(56,94.6667]"
62,"Frei Brothers, Pinot Noir","Frei Brothers","USA","California","Red","Table",14.5,16,"SWEET1","ACIDITY4","BODY3","TANNIN3","Q2","2018",2,78.6666666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(14.2,51.6]","(11,17]","[0,4]","(56,94.6667]"
63,"Gallo Family, Sonoma Cabernet Sauvignon","Gallo Family Vineyard  EJ Gallo Winery","USA","California","Red","Table",13.5,17,"SWEET1","ACIDITY3","BODY4","TANNIN4","Q3","2005",15,93.3333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(13,13.5]","(11,17]","(11,41]","(56,94.6667]"
65,"Gallo Family, Sonoma Merlot","Gallo Family Vineyard  EJ Gallo Winery","USA","California","Red","Table",13.9,18,"SWEET1","ACIDITY3","BODY4","TANNIN3","Q3","2007",13,93.3333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(13.5,14.2]","(17,21.5]","(11,41]","(56,94.6667]"
66,"Gallo Family, Sonoma Pinot Noir","Gallo Family Vineyard  EJ Gallo Winery","USA","California","Red","Table",14,17,"SWEET1","ACIDITY3","BODY3","TANNIN2","Q3","2006",14,93.3333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(13.5,14.2]","(11,17]","(11,41]","(56,94.6667]"
69,"Ginestet Bordeaux de Ginestet Red","Maison Ginestet","France","Bordeaux","Red","Table",12.5,17,"SWEET1","ACIDITY4","BODY3","TANNIN3","Q1","2006",14,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","(11,17]","(11,41]","[9.2,56]"
70,"Ginestet Bordeaux Reserve Red","Maison Ginestet","France","Bordeaux","Red","Table",12.5,17,"SWEET1","ACIDITY3","BODY3","TANNIN3","Q1","2008",12,42.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","(11,17]","(11,41]","[9.2,56]"
71,"Ginestet Bordeaux Blanc","Maison Ginestet","France","Bordeaux","White","Table",12,11,"SWEET1","ACIDITY4","BODY2","TANNIN1","Q1","2010",10,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","[5,11]","(7,11]","[9.2,56]"
72,"Mascaron Bordeaux Blanc","Maison Ginestet","France","Bordeaux","White","Table",12.5,11,"SWEET1","ACIDITY3","BODY2","TANNIN1","Q1","2008",12,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","[5,11]","(11,41]","[9.2,56]"
73,"Mascaron Bordeaux rouge","Maison Ginestet","France","Bordeaux","Red","Table",13,17,"SWEET1","ACIDITY3","BODY3","TANNIN3","Q1","2007",13,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","(11,17]","(11,41]","[9.2,56]"
76,"Ginestet Medoc","Maison Ginestet","France","Bordeaux","Red","Table",12.5,17,"SWEET1","ACIDITY3","BODY3","TANNIN3","Q1","2007",13,45.3333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0","0",0,"1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4.5,13]","(11,17]","(11,41]","[9.2,56]"
